	GSM679849_17A.CEL	GSM679847_9A.CEL	GSM679848_13A.CEL	GSM679850_10B.CEL	GSM679856_19A.CEL	GSM679855_15A.CEL	GSM679854_11A.CEL
1007_s_at	9.17390308845978	9.33053878968649	9.06760655195237	9.4011561998315	9.45726411973919	9.43326053915316	9.78769137836339
1053_at	9.68235692712249	9.54413621197158	9.68973313727281	9.64806047607628	7.67089820470159	7.48255301945375	7.71108012872841
117_at	3.72426091976571	3.53508231597543	3.65384356436457	3.57026370028095	3.56895814892687	3.47991538214933	3.51071073972348
121_at	7.44534677887995	7.58675155451854	7.31643181487278	7.51917617409354	7.88840042198865	7.72910395724277	7.85883156056452
1255_g_at	2.79095755018136	2.75518173035973	2.76487692671138	2.76487692671138	2.75982287074171	2.70406732942043	2.7861274876262
1294_at	4.59060329845624	4.83313092926705	4.51170532468783	4.67988214761335	5.59515943264999	5.53418719616081	5.24470516271038
1316_at	4.45802783931182	4.45104482262776	4.32040007484748	4.66119573883791	4.40699427405493	4.4478477016356	4.45802783931182
1320_at	5.05229053607557	4.53790216707558	5.07694032407545	5.02025993429339	4.85009698984504	4.84566090800651	4.6507818828388
1405_i_at	2.68112930682825	2.71313510543541	2.70434488696171	2.73064521178331	2.77127993118649	2.66811043747883	2.89212739241895
1431_at	2.93704340641742	2.9836119776502	2.83906857499556	2.94465490010317	3.13679456054759	3.00805828454645	3.0953372638571
1438_at	5.79446747319607	5.50705968866369	5.81182074539681	5.59793510489334	6.45793725056557	6.35426246992974	6.13936442159164
1487_at	7.34566352447395	7.37209771521928	7.41760188948677	7.547756209822	7.20104282494268	7.21133760061518	7.08965981392369
1494_f_at	5.26965528557904	5.31052497700552	5.27126482744027	5.42110742695375	4.99018321160333	5.2183368311173	5.19761759898913
1598_g_at	6.36108344001852	6.38446118854178	6.08229962301812	6.32726906299588	6.35831658970886	6.24440651113585	6.27966034573209
160020_at	5.71384271376353	5.8208562571721	5.55530715068294	5.78524019191006	5.91161103281143	5.86398432488023	5.94415609072605
1729_at	6.4043580327603	6.67476614777478	6.31911845392459	6.7980080228169	7.06891357562746	7.13449296162185	7.15212817216436
1773_at	6.72465446384114	6.90084675029283	6.69772993615	6.69765461828764	6.45307995461642	6.53907511496965	6.25121812982665
177_at	4.83327208754299	4.62395889971314	4.95824112607888	4.5203840766316	5.96753722407648	6.06793036201562	5.79063909179213
179_at	7.84847209880389	7.78381646408841	7.65486510650465	8.01084407961918	8.00750376855756	7.81872818217776	7.83244715197752
1861_at	7.27280336694844	7.25232006448463	7.31461897914323	7.46112355507298	7.39600089569661	7.59311277923326	7.3808295450085
200000_s_at	10.4835800487904	10.5095558324493	10.5167359129043	10.4241840130739	10.4835800487904	10.4933269401338	10.4171867184191
200001_at	10.7883605513309	10.8033656996256	10.8060896418717	10.9539257897617	11.379947833504	11.4023111451645	11.5654770412193
200002_at	12.7073816020568	12.6560121928484	12.8105676833631	12.7168300130059	12.6082079058963	12.588760213154	12.5590612690674
200003_s_at	13.2502336523014	13.2574347714392	13.2878022827633	13.2239233135645	13.3870962271654	13.4194779879151	13.4224982957705
200004_at	12.1425139108527	12.0928635293221	12.1078360342581	12.0776786101453	11.5376595372381	11.6250060030133	11.5508900943442
200005_at	10.9366846270793	10.8995560962114	10.9508105096829	11.0652006619477	10.7938375526885	10.841605035432	10.7068909058789
200006_at	12.1783271554001	12.1551415329015	12.1551415329015	12.1613146882123	12.0983311529485	12.0189820690535	12.2007055809522
200007_at	11.9001133037906	11.982044343624	11.950416115387	11.9858483878132	11.9756009931782	11.9756009931782	12.1807389471751
200008_s_at	10.2240595530606	10.3283778020896	10.2936953464559	10.6137593557484	10.3851985568605	10.4253032495153	10.177395024257
200009_at	12.2325984938577	12.2234958140671	12.2407698999154	12.3149556689722	12.3633300514703	12.3553164197335	12.2505675345809
200010_at	11.9547273594834	11.9445644562004	11.9581378654082	12.0378148160502	12.0354060451454	12.0081704662782	12.0713546848534
200011_s_at	9.40252002454088	9.47121833900858	9.37934973828549	9.60152376648798	9.45102333346017	9.5628642950493	9.60789152771871
200012_x_at	13.0018479193797	12.8987596041194	13.0154240696272	13.0154240696272	13.0402985841259	13.1076094479722	13.0287631559086
200013_at	12.7765787165018	12.7689403485593	12.7647474825923	12.8178853600072	12.7067538432141	12.7038764083554	12.7634704707423
200014_s_at	10.9974544674269	10.774643010797	10.8891215431579	10.7091284134051	10.5223224320746	10.5094020926995	10.6596020515201
200015_s_at	11.4569676147796	11.4930847870254	11.5061219496357	11.4368536093709	11.7165248529072	11.7045859732218	11.6535090293997
200016_x_at	12.9972472926393	13.0308029776872	13.0299376806367	13.0301217928599	13.0412524262636	13.054098967556	13.0766333944177
200017_at	12.6632972868056	12.6240463354055	12.6573494784918	12.7081733405189	12.6967304387803	12.6740475327616	12.7067808169223
200018_at	12.7044034095982	12.6951702362377	12.7555237125052	12.7772953092639	12.7793635692174	12.7555237125052	12.7543175958845
200019_s_at	12.1442716352446	12.1139036692292	12.1966411184324	12.2590247362674	12.0446557337625	12.1375551475747	12.0189715468395
200020_at	10.7319332308924	10.6795858394182	10.7788274309559	10.6936159660787	9.92106780811828	9.82450838459858	9.89806742007583
200021_at	12.402152023669	12.336703340135	12.5453558848157	12.504246614071	11.9809213380265	12.0234257779278	12.2304668422537
200022_at	13.0484251041181	13.030848181369	13.0303618836238	13.0473257735306	13.0788297531437	13.1082995377597	13.0500760735614
200023_s_at	10.7334404336209	10.6070959709996	10.7868833712399	10.7104633833102	11.2697830969215	11.3679218207602	11.1680242032847
200024_at	13.1430081150492	13.2096353069977	13.1677414385538	13.2210380568442	13.2181068276027	13.2342478147517	13.2590833882529
200025_s_at	12.9441839656815	12.8216118810357	12.9559187213427	12.9294373227755	12.9704149940953	12.9405373183229	12.9216649060387
200026_at	13.2302212498523	13.1398336668051	13.2302212498523	13.2084931662251	13.2853622915496	13.2430403339409	13.2302212498523
200027_at	10.9976146619094	10.8858409771117	11.0828962683245	10.7689001825513	10.7015519855546	10.7328499999705	10.3304796971873
200028_s_at	10.8517336805871	10.8478882034473	10.9143618748647	10.9083143221421	10.2451971075174	10.2374003206241	10.3692033780512
200029_at	12.5332312046581	12.4183557081482	12.5667688414244	12.6281167394922	12.5590561811347	12.6462928024932	12.5667688414244
200030_s_at	12.8683502749919	12.8624813431131	12.8546497032265	12.9711851376172	12.9920370089233	12.9980585401758	12.9762799649399
200031_s_at	13.166020654832	13.1810271510145	13.231784594074	13.2439589248072	13.2933137941763	13.2834200758007	13.2382283911638
200032_s_at	12.9400608612781	12.9400608612781	12.9217526079998	12.9447396399436	12.9802007006317	12.9179529967047	12.9460635243012
200033_at	12.1322793099928	12.3476356937052	12.1112970638865	12.088350568108	11.9779334771804	11.9579377565826	12.2180090967337
200034_s_at	12.6746135581848	12.6981887765632	12.6746135581848	12.6870823047429	12.6746135581848	12.6580998247917	12.651110513549
200035_at	8.65344081018578	8.52886546346578	8.74432604496944	8.60275838317825	8.44906742231424	8.50271489771279	8.44066760265207
200036_s_at	12.0201639732893	12.0221821709939	12.0715531080115	12.0612677750263	12.2181147053388	12.287838581763	12.2505675345809
200037_s_at	11.3373207444822	11.3323072529914	11.3880064528998	11.2221714283301	11.2528371641241	11.2419714293078	11.1753316596307
200038_s_at	12.7910510869684	12.7295103544387	12.7794368573603	12.8066463469483	12.8767735137244	12.9394641699317	12.820284009924
200039_s_at	10.622982062603	10.7077735228366	10.6482202636733	10.5036056691217	10.1404461269278	10.097579493351	10.4832927307009
200040_at	11.6017514896477	11.6207625790283	11.6289898017442	11.5650667817299	11.6249496153145	11.6502720747783	11.7175091098237
200041_s_at	11.3605646352698	11.4574074303876	11.4118446003757	11.3446416588477	11.0789350251319	11.0315551110842	10.9370965702544
200042_at	10.4061410988753	10.2925455087932	10.4328941450591	10.4677073106594	10.2412379406524	10.2478126562099	9.97157559779315
200043_at	11.7876972224617	11.7679469314062	11.879471728436	11.8429993445594	11.529630104355	11.5251382512423	11.4166740638017
200044_at	10.4906409589814	10.5225453360806	10.5117668732643	10.4854318913868	10.3805170752433	10.4195238165794	10.4431528972357
200045_at	9.85372450596504	9.89598321577682	9.86098972467409	9.78325442391547	9.05213760428481	9.12545592500876	9.27424910188125
200046_at	11.0753227297028	11.0976323744689	11.0753227297028	11.0864192492538	11.0523067739447	11.0602915889107	11.0214012199977
200047_s_at	11.1500067401634	11.0520480832841	11.0568859138448	10.8902431321604	11.1339074712182	11.0015748995484	11.0565836485397
200048_s_at	11.2214185828767	11.1089733319375	11.1935572401597	11.4624145597484	11.2293573826185	11.4007888468433	10.8761066687939
200049_at	8.72934412877093	8.79654009007641	8.77723131215193	8.74324068758656	8.90575757813168	8.79654009007641	8.88667508606949
200050_at	11.2046132434545	11.180342151929	11.1593541233245	11.021603263898	11.0846785161943	11.0747973008497	10.8700192270772
200051_at	8.48842132004105	8.31989339236732	8.57206107453447	8.36842056890307	8.26296515665363	8.36842056890307	8.15257057112361
200052_s_at	10.9884159977538	10.873374048817	10.9804594610757	11.0279323054956	10.7904698201398	10.7258464731674	10.4627928261912
200053_at	9.13895276086197	9.15226981811728	9.13895276086197	9.04004506515507	9.36522425187837	9.20123533750096	9.10241272424535
200054_at	8.93253817574869	8.83486029129477	9.05814345340772	9.15024133462753	8.25830507483288	8.35644198137038	7.89778803110871
200055_at	8.74142005233392	8.65474725793219	8.82873397581905	9.0221150287557	8.9588793100931	8.96426044530074	9.04417196117307
200056_s_at	8.5159038210895	8.51235981798726	8.55650068639491	8.54929636349328	8.70611093419507	8.55518539350524	8.5838919417758
200057_s_at	11.9434206994866	12.1266113317995	12.0583466423248	12.1364943193501	12.1126823460098	12.1150189013318	12.2140962746516
200058_s_at	10.5487479614505	10.5806350220068	10.5261306260228	10.3399277985845	10.6021760219672	10.6168094924238	10.7004226587489
200059_s_at	11.7488604439157	11.726483500972	11.7700657782301	12.0161487222715	11.726483500972	11.6532085814424	11.6475487261298
200060_s_at	10.8306693790115	10.7288148459166	10.771420007001	10.9215871134173	10.0384133426031	10.138627476049	10.1872107307731
200061_s_at	13.2834334755034	13.3408622996942	13.3028298807266	13.2620317773979	13.416359915502	13.4246700647898	13.4478887168784
200062_s_at	12.4064017955195	12.3371172373541	12.3900189731369	12.4354233026066	12.6626421470428	12.6355539880078	12.6319838612275
200063_s_at	13.0552912069718	13.0529972496419	13.0518576286702	12.9965582832138	12.9965582832138	12.919138992931	12.9045234040497
200064_at	12.8398547576851	12.8721845420989	12.7231710076106	12.7571031047674	12.4440825545059	12.4426427575674	12.4168875755586
200065_s_at	11.2431947584848	11.1277053355849	11.2336848178449	11.3442122847462	11.399835726209	11.4669308221431	11.082480598862
200066_at	9.69407483477024	9.83271344755885	9.78835121482411	9.75060889674053	9.86799154196463	9.89835570283727	10.0272651617751
200067_x_at	10.7218757916933	10.6339503959874	10.7641734178952	10.6194138094858	11.0433915319311	11.1141567801866	11.0064912924592
200068_s_at	11.8827728224462	11.87750293519	11.8920202785969	11.8920202785969	12.0626900430636	12.1931888044954	11.5604250775192
200069_at	9.2980467955414	9.17432882041222	9.3819258721025	8.79276421783669	8.6642051875324	8.81897572873852	8.56669416575232
200070_at	7.889557922104	8.0230511612835	8.09001879340397	8.05725817528084	8.03250474350002	8.02454161954549	7.91300538460603
200071_at	10.3750956523787	10.2234864210268	10.4373417767241	10.2391824222537	10.4096349244779	10.394267746323	10.149496081298
200072_s_at	11.0545477482521	11.0618882546205	11.1195303322773	11.2053631800222	10.2351847131909	10.3019452476013	10.2618865180438
200073_s_at	11.2422106596117	11.2369847423109	11.3115152852833	11.0725584350171	10.5675581952814	10.439417747487	10.5449781284042
200074_s_at	11.9678101510526	11.8828994252135	11.9934921596367	12.0230791888321	12.0060309035394	11.9860099093024	11.9684713432708
