	GSM679849_17A.CEL	GSM679847_9A.CEL	GSM679848_13A.CEL	GSM679850_10B.CEL	GSM679857_20A.CEL	GSM679858_3B.CEL
1007_s_at	9.12838549394657	9.26267676801931	8.97641457789757	9.32285523129077	9.71244139017758	9.69101870778609
1053_at	9.67263986265383	9.54472151128033	9.68110978153094	9.62687263498072	7.47287849357448	7.3341512040914
117_at	3.71681601198556	3.5136960254883	3.64070741627109	3.59414375935838	3.65638908033134	3.54401993123451
121_at	7.48329877694489	7.59184582741169	7.3249024954213	7.47065030054098	7.69496638035153	7.58250363093459
1255_g_at	2.86500483270401	2.69553769937685	2.74634450864989	2.70839102581477	2.6336867120388	2.62476811971875
1294_at	4.4054031784378	4.64716666578145	4.39649197251696	4.51837474030012	5.6853021650414	5.63320479815629
1316_at	4.43363080786531	4.31871979679892	4.28324943361349	4.55293508486875	4.28108759971472	4.22954737650549
1320_at	5.09216250807828	4.46645894657374	5.02537881386478	5.08649756300666	5.30074482181644	5.27178174653772
1405_i_at	2.72981061640886	2.73962696519101	2.71525715312338	2.81458207023922	2.82405391935244	2.80739384402022
1431_at	3.16005749564418	3.22355000630442	3.07549587551214	3.09698205732889	3.53356914156427	3.41075026438777
1438_at	5.78847229698029	5.4916430917682	5.83724082148269	5.6445949012688	6.48113413921529	6.68533635928631
1487_at	7.3791183582466	7.31015807157634	7.3309782282511	7.54393228195291	7.04733388204242	7.05413831656712
1494_f_at	5.36605731056382	5.4087727065592	5.2784438194958	5.4920762465439	5.42993592402667	5.21947934704522
1598_g_at	6.3926978576812	6.43682066955836	6.15352411473105	6.3411615690764	6.4470149961206	6.32275660675759
160020_at	5.74156557153376	5.74271932468023	5.46438119660037	5.77165155665452	6.09638132334282	6.21156685296756
1729_at	6.43326642966561	6.66596667156091	6.32927572164185	6.80981530374554	7.01594470644523	6.89575540203499
1773_at	6.58848167162301	6.87962023579685	6.59398619661345	6.69162485979202	6.12680525654686	6.39021756524286
177_at	4.53095318568941	4.32842877466096	4.59628063723899	4.27428352330812	5.71123465076722	6.10248653276503
179_at	7.80952169897526	7.72552115481081	7.58123313937972	8.0023516227378	7.89335622725744	7.78713773487941
1861_at	7.28346980739952	7.22864967784393	7.30044299574068	7.47218575660788	7.24229135233304	7.48538152500422
200000_s_at	10.4502126952245	10.5099649918008	10.4897580228281	10.3907910499793	10.1687984685259	10.2427627117955
200001_at	10.7922356511986	10.8116368175561	10.8035392451516	10.959674556337	11.2822914781702	11.3760207329577
200002_at	12.7081105451688	12.6458944324838	12.802934104125	12.7117710101114	12.6355448106757	12.523490619706
200003_s_at	13.2320334672237	13.2345984704637	13.253049175017	13.218374493508	13.3969370497744	13.3787935283486
200004_at	12.1821053129257	12.1320468823536	12.1692338461943	12.1450612440366	11.7978688462307	11.7459414600528
200005_at	10.8628581569858	10.8278786579818	10.8824642348698	11.023600846575	10.8049221631559	10.791412729048
200006_at	12.1672011833422	12.1540770309424	12.136680144929	12.146652711504	12.1071318820222	12.0111701659245
200007_at	11.9179229594641	12.0016942854976	11.9763216353588	12.0024975704227	12.0760959644363	12.0362419050267
200008_s_at	10.2316568094806	10.3345914238468	10.2903624638732	10.6643314269113	10.207911812666	10.5473222105467
