	GSM679849_17A.CEL	GSM679847_9A.CEL	GSM679848_13A.CEL	GSM679850_10B.CEL	GSM679862_13B.CEL	GSM679861_12A.CEL
1007_s_at	9.17583003753588	9.31334343832435	9.04073420424439	9.41582466505642	10.6604009161334	10.4740929917198
1053_at	9.76864676392449	9.64442028922259	9.79564533230205	9.74681546339168	8.98290633582311	8.88326524560394
117_at	3.63138372596648	3.45237158480056	3.57015959388425	3.54041035517526	3.80844457613619	3.56912240941655
121_at	7.62275024907438	7.66935857825341	7.42742346549394	7.62875638673192	7.50147296153415	7.41082315267978
1255_g_at	2.86427297349429	2.70602298131168	2.80540458964422	2.74261573540373	2.61053060807818	2.54492423465422
1294_at	4.43769195595633	4.67470612512842	4.35716387484589	4.52436149451016	4.97336069129282	4.69505940044388
1316_at	4.75003950598659	4.68327513687255	4.586748600872	4.84757930434393	4.85636560653065	4.88039808264117
1320_at	5.04733951443663	4.56669869974235	5.02573231512431	4.91812018231992	4.94990899417089	4.5585908136358
1405_i_at	2.7097245007389	2.71468724783171	2.69496694948763	2.78611816333766	3.06523380443916	2.72814139598144
1431_at	3.04815795590433	3.01408690588137	2.91703382338995	3.01361439424228	3.00132656294813	3.15748318684745
1438_at	5.90032563814366	5.61054636838806	5.9596899532861	5.74989834174914	6.25122831787901	6.04580369986239
1487_at	7.42312433877783	7.40243583464482	7.43785390772422	7.59722220382061	6.96285400295754	6.9706304647994
1494_f_at	5.27694360277253	5.38718276488083	5.25050399137741	5.46620418505746	5.28874056759216	5.19876156959205
1598_g_at	6.39275290441582	6.4663346327469	6.15692319917545	6.37490624305964	6.58215766114161	6.50917305122759
160020_at	5.71733080962204	5.73968217349047	5.52525348628095	5.79715242729739	6.2211000678115	6.10642865852917
1729_at	6.39419652125381	6.65245801777726	6.33251225016943	6.79465056973565	7.21419465707573	7.05820426685261
1773_at	6.69548691405602	6.85030342841467	6.70548934282798	6.71411050742394	6.71436846011721	6.60361494751726
177_at	4.60937404563085	4.36608493354468	4.63646185707311	4.29470144575231	5.88771729682215	5.53120051722079
179_at	7.83204137302301	7.79370858126976	7.57085425940172	8.05481480593751	7.89673678623601	7.84620581178657
1861_at	7.32247331638428	7.27202555761959	7.33351211328196	7.50403988854064	7.8608470807646	7.41876027774584
200000_s_at	10.4891274900774	10.575148622879	10.5309225597551	10.4239212803482	10.225424375377	10.355649693633
200001_at	10.8276695546802	10.8625417687873	10.8486280462937	11.0026376410169	11.7148980840855	11.359976454438
200002_at	12.740609993591	12.6692151112036	12.8345877873777	12.7272170342877	12.6531847005873	12.5103151057737
200003_s_at	13.2802150763953	13.2729596686151	13.2926801695881	13.2606062635402	13.4493380933336	13.3275133751904
200004_at	12.2279137913016	12.1837077454193	12.2034629366638	12.1956234936986	11.8583923342968	11.933056940253
200005_at	10.9296635030453	10.893913056572	10.9642184259969	11.0821237481743	10.5717843018953	10.6742586924136
200006_at	12.1982199258954	12.1739945809752	12.1805687270628	12.1807866971291	12.1433844660065	12.0404878957444
200007_at	11.9480658209197	12.0325067640403	11.983948844144	12.037298328218	12.1341433386991	11.9850499001245
200008_s_at	10.2832669037943	10.3825679836498	10.3466625257323	10.6869804343041	10.3323984018917	10.1887889321792
200009_at	12.2759367150412	12.2719803685503	12.2841230225506	12.3378359630996	12.1363125874421	12.1687404870539
200010_at	12.0092357944408	11.9995496910266	12.0226122358971	12.0999091566695	12.0645316849659	11.9226449268171
200011_s_at	9.51799031170064	9.49496008560581	9.46003261643783	9.58474361250618	9.90789200877154	9.80746873569629
200012_x_at	13.0198920814662	12.9543027771418	13.0745683115408	13.0738876133987	13.0202669587814	12.8657661404547
200013_at	12.8728673149486	12.8196670994229	12.8571490227222	12.8971238040733	12.8627084477555	12.7562688366699
200014_s_at	11.089543740047	10.8285451960944	10.9491848339275	10.7680008155776	10.0927520376787	10.2285368429064
200015_s_at	11.4669075539751	11.4964319828639	11.5141794420321	11.4508549460538	12.0158042922149	11.9224785413703
200016_x_at	13.0005898506153	13.0385391698881	13.0444344380882	13.0533372257793	12.773829683425	12.8076559823737
200017_at	12.650755194785	12.6098271365636	12.6174390368188	12.650755194785	12.5823776023861	12.5532718666938
200018_at	12.7133856169082	12.6785494808119	12.7503212635988	12.78748326704	12.6611435681108	12.4858730431541
200019_s_at	12.1784386891364	12.1514869530474	12.2683332830011	12.2919349093552	12.4323791450509	12.2425520139527
